W	PRON	NL	NN	NPN	BFNT	TFNT	NP
ghoob	gub	5	0	8	463968	12772	3
kresh	krES	5	1	6	720413	16344	4
wowte	w6t	5	0	22	364164	2106	3
sploof	spluf	6	0	0	828303	31469	5
yorth	j9T	5	4	10	2444864	27133	3
croill	kr4l	6	0	3	558764	77317	4
nourf	n9f	5	0	10	702507	50039	3
grermn	gr3m	6	0	4	700012	22854	4
phroaf	fr5f	6	0	1	253872	27433	4
gneinn	n1n	6	0	40	695165	2655	3
quirnt	kw3nt	6	0	1	233470	10937	5
frilce	frIls	6	0	2	374400	8151	5
brive	br2v	5	5	8	290109	41925	4
koosh	kuS	5	0	16	371151	2358	3
breegn	brin	6	0	15	613647	38125	4
thewth	TjuT	6	0	1	5590383	1313556	4
flaum	fl9m	5	0	6	136800	8117	4
crorlt	kr9lt	6	0	2	606655	18064	5
flalph	fl{lf	6	0	0	266826	6875	5
gyce	g2s	4	1	17	86000	200	3
krid	krId	4	1	10	164464	3245	4
gwourt	gw9t	6	0	2	673918	104485	4
friff	frIf	5	0	3	260080	9139	4
gholb	gQlb	5	0	1	367805	12072	4
wrin	rIn	4	5	37	543629	15472	3
seente	sint	6	0	7	802517	123726	4
skeak	skik	5	3	6	416428	15643	4
pheig	f1g	5	0	18	1886391	56386	3
lault	l9lt	5	2	6	244662	5303	4
chole	J5l	5	4	22	591978	35818	3
spruv	sprVv	5	0	1	77594	4424	5
smymph	smImf	6	0	0	76961	207	5
gwaint	gw1nt	6	0	1	888663	34236	5
sproul	spr6l	6	1	2	777176	149858	5
scruc	skrVk	5	2	4	110843	6858	5
prauve	pr9v	6	0	2	252414	2793	4
twis	twIs	4	5	7	561942	7030	4
nuiff	nuf	5	1	10	109639	1172	3
liltch	lIlJ	6	0	4	437826	16204	4
thwoke	Tw5k	6	0	1	2192929	17386	4
rirsh	r3S	5	0	2	402739	23149	3
peabe	pib	5	1	16	444060	5310	3
knurte	n3t	6	0	25	255341	5160	3
kriz	krIz	4	0	10	76868	417	4
zaigue	z1g	6	0	1	207003	6535	3
grolv	grQlv	5	0	0	298031	23401	5
gondge	gQn_	6	0	0	970323	12228	4
queate	kwit	6	0	9	746005	54653	4
whirv	w3v	5	1	20	714500	80292	3
mauph	m9f	5	0	12	169759	132	3
skop	skQp	4	5	12	52206	0	4
shrush	SrVS	6	1	5	508821	12815	4
grague	gr{g	6	0	9	152554	14743	4
glaul	gl9l	5	0	0	233036	9194	4
treng	trEN	5	1	3	742114	23702	4
plyce	pl2s	5	1	8	121240	229	4
graugg	gr9g	6	0	2	178555	13713	4
salce	s{ls	5	2	5	322759	2062	4
clurlt	kl3lt	6	0	0	166176	3830	5
thralt	Tr{lt	6	1	1	2149689	39452	5
rheln	rEln	5	0	1	1829876	15005	4
greimn	gr1m	6	0	15	590046	19147	4
smoomn	smum	6	0	1	396602	15906	4
smigh	sm2	5	1	5	239209	79554	3
draff	dr{f	5	1	5	111627	7799	4
wronk	rQNk	5	1	6	482344	17471	4
screte	skrit	6	0	5	586052	8172	5
crourf	kr9f	6	0	2	712008	97871	4
skeaf	skif	5	1	8	376258	9035	4
gnamb	n{m	5	0	25	74950	7230	3
scolth	skQlT	6	0	0	2078912	9398	5
pauche	p9S	6	1	15	2048671	56161	3
derse	d3s	5	3	17	609236	16589	3
kril	krIl	4	1	12	191231	855	4
shross	SrQs	6	0	3	493300	31162	4
chewth	JuT	6	0	6	3893375	19074	3
creull	krul	6	0	9	736360	13741	4
scafe	sk1f	5	2	8	175771	4288	4
swuff	swVf	5	3	8	29500	2518	4
flib	flIb	4	3	6	111769	2524	4
shruff	SrVf	6	1	3	241426	5748	4
giegg	g2g	5	0	7	65100	1835	3
soarmb	s9m	6	0	23	402004	13735	3
sckung	skVN	6	0	9	230349	11139	4
carb	k#b	4	9	15	337857	12880	3
trirck	tr3k	6	0	5	321804	11082	4
pleuf	pluf	5	0	2	173851	3371	4
krent	krEnt	5	0	2	671468	30962	5
dwer	dw3	4	1	0	409451	60837	3
treape	trip	6	0	9	732531	61961	4
skeik	sk1k	5	2	8	249668	8557	4
whiebb	w2b	6	0	14	643760	78053	3
sweumb	swum	6	0	6	193776	3943	4
keach	kiJ	5	6	20	635865	36869	3
shrult	SrVlt	6	0	0	352530	7302	5
slaunn	sl9n	6	0	4	189805	6854	4
wreuve	ruv	6	0	19	557375	884	3
phloll	flQl	6	0	5	372635	3005	4
smeage	smi_	6	0	1	539764	26858	4
quass	kw{s	5	2	2	485093	16896	4
grourc	gr9k	6	0	1	752745	114951	4
bliche	blIS	6	1	3	2144571	77250	4
smit	smIt	4	6	8	425657	5057	4
knirk	n3k	5	0	19	188178	1439	3
creabe	krib	6	1	10	803932	45769	4
guik	gIk	4	0	20	66860	1526	3
fante	f{nt	5	0	11	917223	18533	4
flodd	flQd	5	1	13	156623	7174	4
yait	j1t	4	3	17	477261	4071	3
jolgn	_Qln	5	0	0	82286	42	4
blov	blQv	4	4	5	135768	14369	4
frope	fr5p	5	2	2	362820	89503	4
squieb	skw2b	6	0	3	76037	13254	5
chylf	JIlf	5	0	2	216812	0	4
dweunt	dwunt	6	0	0	306807	4077	5
thrulm	TrVlm	6	0	0	2075285	36901	5
gnoil	n4l	5	0	16	341042	5654	3
lerme	l3m	5	0	17	620913	7004	3
splofe	spl5f	6	0	0	740133	2027	5
sprale	spr1l	6	0	4	387106	14996	5
ghwief	gw2f	6	0	0	342305	3339	4
froile	fr4l	6	0	4	562124	103443	4
poit	p4t	4	3	14	421767	8057	3
shrair	Sr8	6	0	2	468494	30934	3
gibb	gIb	4	1	14	21218	28	3
brelph	brElf	6	0	0	514079	16464	5
plev	plEv	4	2	2	172343	3363	4
phrorf	fr9f	6	0	2	589161	20291	4
snil	snIl	4	3	9	134309	348	4
stad	st{d	4	6	16	494285	31156	4
chawph	J9f	6	0	6	772590	19125	3
swafe	sw1f	5	0	6	322703	2518	4
scuish	skuS	6	0	3	556227	7309	4
shouce	S6s	6	0	4	909401	90583	3
bive	b2v	4	13	14	202324	31610	3
cluiff	kluf	6	0	2	155138	3822	4
folge	fQl_	5	1	0	306573	859	4
strov	strQv	5	1	4	521462	34119	5
krus	krVs	4	0	9	160552	3891	4
zeente	zint	6	0	0	560167	82164	4
prorke	pr9k	6	0	2	728397	28917	4
prys	prIs	4	2	5	49082	63	4
skymph	skImf	6	0	3	40234	1560	5
plonn	plQn	5	1	6	385206	15331	4
dreegg	drig	6	0	4	608218	38177	4
clorke	kl9k	6	0	11	650626	42184	4
vourn	v9n	5	2	27	533157	61916	3
gwick	gwIk	5	0	1	332802	12876	4
skawth	sk9T	6	0	5	1938638	2163	4
kreunt	krunt	6	0	2	524755	4103	5
spoult	sp6lt	6	1	3	617580	110434	5
lazz	l{z	4	2	27	100744	389	3
lalp	l{lp	4	1	1	245302	1008	4
knauck	n9k	6	0	24	171716	5461	3
ghlylm	glIlm	6	0	0	115714	0	5
smaike	sm1k	6	0	9	390597	50828	4
fleall	flil	6	0	5	718552	141764	4
flal	fl{l	4	9	7	252924	5012	4
scrauc	skr9k	6	0	2	160147	7634	5
stug	stVg	4	7	10	319288	2954	4
twuith	twuT	6	0	1	2308814	131484	4
ghloph	glQf	6	0	1	236729	720	4
lal	l{l	3	11	18	235835	0	3
trilse	trIls	6	0	4	528092	18863	5
skrusk	skrVsk	6	0	0	210670	4294	6
neidge	n1_	6	0	12	392786	7176	3
trarph	tr#f	6	0	1	374251	17178	4
gluse	glus	5	0	6	401834	67687	4
twoote	twut	6	0	2	520519	36915	4
pheath	fiT	6	1	13	4272896	66724	3
dwilmn	dwIlm	6	0	0	304389	39729	5
smong	smQN	5	0	2	435463	29291	4
ghrour	gr9	6	0	4	838450	111948	3
farch	f#J	5	4	7	495478	20832	3
gnem	nEm	4	0	12	232003	557	3
whace	w1s	5	2	25	977985	70532	3
dwill	dwIl	5	4	5	511351	105195	4
froarf	fr9f	6	0	2	548930	86946	4
broab	br5b	5	1	6	238871	16133	4
glose	gl5s	5	6	7	422609	51627	4
pherck	f3k	6	0	24	2071513	154965	3
troomn	trum	6	0	8	541849	30723	4
truic	truk	5	0	9	191266	13516	4
koadge	k5_	6	0	12	270821	11450	3
thriph	TrIf	6	0	1	2020916	38725	4
jerp	_3p	4	2	7	240482	328	3
drush	drVS	5	2	6	340530	11150	4
gnuke	njuk	5	0	5	136480	757	4
ghwe	gwi	4	1	2	282553	0	3
skolse	skQls	6	0	3	361383	8134	5
crylk	krIlk	5	0	0	43126	912	5
graush	gr9S	6	0	0	412545	17714	4
verke	v3k	5	3	17	551659	5296	3
yulmb	jVlm	5	0	0	121672	12	4
scrirr	skr3	6	0	2	221532	6463	4
frynt	frInt	5	1	4	174428	212	5
rurf	r3f	4	3	11	106786	220	3
bylth	bIlT	5	0	7	1990115	3339	4
scuve	skjuv	5	0	0	183428	182	5
ghulmn	gVlm	6	0	5	242496	190	4
gwienn	gw2n	6	0	3	431954	6596	4
krimf	krImf	5	0	1	166510	3133	5
freib	fr1b	5	0	5	547714	8415	4
sowlt	s6lt	5	0	3	279641	1788	4
snadd	sn{d	5	0	10	194133	3230	4
phrauf	fr9f	6	0	2	120609	1565	4
keame	kim	5	0	22	627343	43802	3
fluip	flup	5	0	7	61039	1033	4
zeav	ziv	4	1	7	316365	6117	3
skaup	sk9p	5	0	9	91258	89	4
jint	_Int	4	6	13	530395	12330	4
peumn	pum	5	0	19	59725	3	3
blore	bl9	5	2	10	867214	57479	3
snoune	sn6n	6	0	1	861355	42035	4
sckave	sk1v	6	0	6	337000	94205	4
bloign	bl4n	6	0	1	216231	9577	4
jeegue	_ig	6	0	7	218793	4697	3
reth	rET	4	0	15	2349552	2189	3
clight	kl2t	6	4	11	390331	153413	4
sholck	SQlk	6	0	0	481596	49670	4
thauck	T9k	6	0	16	2571933	228255	3
skite	sk2t	5	6	15	506089	25615	4
simf	sImf	4	0	2	131253	0	4
selk	sElk	4	5	6	342809	1789	4
ghriel	gr2l	6	0	5	336376	20657	4
varne	v#n	5	0	10	441470	14996	3
scort	sk9t	5	7	15	512480	19903	4
haldge	h{l_	6	0	0	923033	18277	4
timp	tImp	4	5	5	163356	37732	4
frerth	fr3T	6	0	1	2665029	17952	4
beuch	buJ	5	4	18	416508	38115	3
choace	J5s	6	1	6	593266	39648	3
prilck	prIlk	6	0	1	278987	8565	5
ghlome	gl5m	6	0	7	576136	58862	4
scryln	skrIln	6	0	0	48543	4195	6
lale	l1l	4	16	39	372774	7598	3
clurth	kl3T	6	0	1	2066049	17677	4
scresk	skrEsk	6	0	0	629289	23047	6
glerb	gl3b	5	0	4	380539	1257	4
rhoose	rus	6	1	20	662684	49433	3
snorf	sn9f	5	2	6	560809	7181	4
brerph	br3f	6	0	1	663408	7382	4
krulse	krVls	6	0	1	417081	8509	5
guick	gIk	5	1	20	181061	14586	3
thurt	T3t	5	0	12	2033982	12611	3
phlimf	flImf	6	0	0	190418	2845	5
whorse	w9s	6	0	24	1118329	80993	3
bloff	blQf	5	1	6	658676	19581	4
skote	sk5t	5	2	12	251586	6251	4
stramn	str{m	6	1	5	435945	42605	5
polf	pQlf	4	7	3	97541	1705	4
kraut	kr9t	5	0	6	242036	362	4
smoogn	smun	6	0	3	255177	4932	4
lourb	l9b	5	0	12	601428	52338	3
drirg	dr3g	5	0	3	215992	5685	4
phoutt	f6t	6	0	22	794196	105612	3
sloln	slQln	5	0	0	168577	2497	5
drark	dr#k	5	1	1	361875	14809	4
grav	gr{v	4	3	9	204503	8869	4
staln	st{ln	5	4	0	453181	39716	5
twoarm	tw9m	6	0	1	436831	35613	4
caife	k1f	5	0	17	326375	16947	3
throv	TrQv	5	2	4	2137886	56497	4
crolse	krQls	6	1	2	542990	17540	5
fryse	fr2s	5	0	6	374851	225	4
crirch	kr3J	6	0	3	409219	9698	4
dwo	dw5	3	1	0	122643	0	3
spouce	sp6s	6	2	5	614749	14469	4
jeese	_is	5	1	11	608133	26233	3
krurb	kr3b	5	0	2	106877	145	4
mourve	m9v	6	0	12	748997	60223	3
culce	kVls	5	0	7	207247	251	4
pheape	fip	6	0	19	2035207	32856	3
ghose	g5s	5	5	12	626680	55704	3
tiebb	t2b	5	0	15	101648	1764	3
thrak	Tr{k	5	0	4	2039097	34036	4
yerse	j3s	5	2	9	603661	17112	3
stort	st9t	5	9	12	1632634	34623	4
glieg	gl2g	5	0	1	143533	3917	4
hink	hINk	4	14	15	850614	54527	4
tulf	tVlf	4	2	1	136081	297	4
kneick	n1k	6	0	23	417941	21303	3
raph	r{f	4	4	23	81195	3228	3
psowte	s6t	6	0	25	368003	2534	3
ghwerf	gw3f	6	0	0	518911	60737	4
premn	prEm	5	1	6	469837	5126	4
sweuve	swuv	6	1	4	336988	3094	4
fruc	frVk	4	0	3	168534	3015	4
psighm	s2m	6	0	24	237865	68604	3
theeck	Tik	6	0	20	3903370	1322796	3
phreun	frun	6	0	4	496102	14138	4
dwott	dwQt	5	0	2	258960	4	4
sckene	skin	6	0	8	599674	10150	4
serl	s3l	4	3	26	506403	2466	3
skalv	sk{lv	5	0	1	165213	561	5
slike	sl2k	5	5	9	272611	73796	4
frerk	fr3k	5	1	2	755107	8844	4
knaugg	n9g	6	0	11	115395	6278	3
snaule	sn9l	6	0	7	277062	5771	4
creen	krin	5	6	15	803659	92033	4
wrerpe	r3p	6	0	10	690170	736	3
gweiff	gw1f	6	0	0	319979	3524	4
stoome	stum	6	1	7	1742257	117510	4
flign	flIn	5	1	7	187581	13849	4
psosc	sQsk	5	0	1	217201	0	4
plawse	pl9s	6	0	3	411574	33237	4
sckawl	sk9l	6	1	13	107673	731	4
brauve	br9v	6	0	5	261811	4530	4
wrouge	r6_	6	0	10	742174	90466	3
gese	_is	4	1	11	489055	21137	3
gwece	gwis	5	0	1	267676	2382	4
spop	spQp	4	4	4	86250	6156	4
frabb	fr{b	5	0	3	163604	5070	4
thidd	TId	5	1	14	2345811	114296	3
deethe	diD	6	2	8	3949918	1331643	3
sighse	s2s	6	0	20	477368	69281	3
rheab	rib	5	0	16	1968506	26944	3
ghuib	gub	5	0	8	144518	4	3
pheev	fiv	5	0	11	1939751	6251	3
phrin	frIn	5	0	5	574915	14970	4
yene	jin	4	2	18	433888	2273	3
fank	f{Nk	4	13	14	788817	9824	4
shyle	S2l	5	2	20	305336	2155	3
vaife	v1f	5	0	10	236361	17137	3
gwush	gwVS	5	0	0	288942	5347	4
zint	zInt	4	8	7	529902	12396	4
prieg	pr2g	5	2	8	137241	22550	4
guipe	g2p	5	4	12	93062	3171	3
zilth	zIlT	5	2	2	2029907	7713	4
snanc	sn{Nk	5	0	3	763740	9522	5
smirb	sm3b	5	1	1	163732	4391	4
laige	l1_	5	1	21	345548	7282	3
hirth	h3T	5	4	17	2405692	17820	3
veuk	vuk	4	0	1	156234	0	3
strur	str3	5	2	3	420206	34928	4
quauck	kw9k	6	0	6	143909	8085	4
voarmb	v9m	6	0	6	298304	12942	3
heem	him	4	6	25	1990770	20509	3
shoash	S5S	6	0	7	952390	46028	3
pontch	pQnJ	6	0	6	560368	22281	4
gliegg	gl2g	6	0	1	147052	5602	4
breese	bris	6	1	11	1026624	64142	4
ghoabb	g5b	6	0	10	330021	1341	3
snoarv	sn9v	6	0	3	468176	4723	4
gwiep	gw2p	5	0	2	241741	49	4
threib	Tr1b	6	0	1	2381060	46917	4
ziff	zIf	4	2	5	89246	1170	3
kreet	krit	5	1	11	639256	46870	4
smeic	sm1k	5	0	9	383180	1801	4
kroose	krus	6	0	12	652101	51376	4
puin	pun	4	2	22	499235	340	3
druzz	drVz	5	0	8	52598	2088	4
theuth	TuT	6	0	3	5703496	1323114	3
cruice	krus	6	1	12	235025	18732	4
sharme	S#m	6	0	12	1201484	37589	3
cluise	klus	6	1	2	668321	9988	4
stap	st{p	4	10	12	329505	32287	4
knake	n1k	5	2	23	222900	38363	3
ghozz	gQz	5	0	15	307993	567	3
lolth	lQlT	5	1	2	2068724	3753	4
bruck	brVk	5	2	7	168242	7694	4
towthe	t6D	6	0	4	4768904	1319264	3
sweesh	swiS	6	0	5	693393	18909	4
frailt	fr1lt	6	0	0	402695	28095	5
wrauc	r9k	5	0	26	130768	1289	3
grerlt	gr3lt	6	0	0	715017	18669	5
kneumn	num	6	0	16	218506	9732	3
lulp	lVlp	4	4	5	135839	284	4
yarc	j#k	4	3	15	259044	5239	3
clelt	klElt	5	2	1	268726	15292	5
ghlynk	glINk	6	0	3	142501	34	5
skrobb	skrQb	6	0	3	225925	999	5
sawdge	s9_	6	0	21	191649	12521	3
brauf	br9f	5	0	5	108924	4364	4
stougn	st6n	6	0	6	1707163	60957	4
gleite	gl1t	6	0	8	661328	21057	4
sive	s2v	4	13	19	225153	31610	3
derlte	d3lt	6	0	2	424797	7	4
viek	v2k	4	3	13	53312	4814	3
geatch	_iJ	6	0	9	899505	49547	3
ilve	Ilv	4	0	2	275306	2908	3
shroab	Sr5b	6	0	3	401781	29137	4
pronc	prQNk	5	2	5	496363	26428	5
cleuv	kluv	5	0	3	171765	7155	4
sturb	st3b	5	0	5	347462	13640	4
kouth	k6T	5	5	8	2484853	66590	3
jes	_Es	3	4	14	175961	38	3
yoarg	j9g	5	0	7	419695	10894	3
chuite	Jut	6	0	20	690356	34968	3
teve	tiv	4	0	17	246742	1251	3
trov	trQv	4	3	4	268296	9364	4
skonck	skQNk	6	0	1	380590	9950	5
ghreem	grim	6	0	18	777676	59140	4
sprolk	sprQlk	6	0	0	313002	13502	6
shramf	Sr{mf	6	0	0	313266	4906	5
psimp	sImp	5	0	4	156644	845	4
ghwet	gwEt	5	0	2	346829	1097	4
thiep	T2p	5	1	5	2312132	115863	3
thwolk	TwQlk	6	0	0	2091402	710	5
grusc	grVsk	5	0	0	228099	4209	5
choagg	J5g	6	0	5	432860	13248	3
blive	bl2v	5	0	2	299961	47336	4
scourt	sk9t	6	0	15	657752	103636	4
rowsh	r6S	5	0	8	504494	19759	3
yeip	j1p	4	1	9	121922	0	3
thrugg	TrVg	6	0	5	2012736	36611	4
tret	trEt	4	4	9	516911	15560	4
scoobe	skub	6	0	4	438761	5694	4
grarck	gr#k	6	0	2	434560	11778	4
quadd	kw{d	5	0	6	200520	4529	4
swaipe	sw1p	6	0	9	429813	5396	4
sckiek	sk2k	6	0	4	157157	347	4
shourv	S9v	6	0	8	862479	137378	3
lerf	l3f	4	2	12	373297	572	3
rerm	r3m	4	4	16	651784	4185	3
betch	bEJ	5	12	20	448478	13750	3
blym	blIm	4	0	6	21701	13	4
coarf	k9f	5	0	21	349720	6639	3
glilgn	glIln	6	0	0	221546	578	5
jup	_Vp	3	4	8	76984	0	3
skirmn	sk3m	6	0	8	178399	7075	4
lilve	lIlv	5	0	1	368565	2920	4
thrirr	Tr3	6	0	6	2112569	35217	3
peente	pint	6	0	10	604412	85848	4
psorph	s9f	6	0	18	491833	5066	3
vadd	v{d	4	0	20	184523	1613	3
kieff	k2f	5	0	12	91469	3460	3
holph	hQlf	5	0	1	272384	12360	4
terp	t3p	4	3	15	328151	4215	3
ceeph	sif	5	0	31	295593	12997	3
stremb	strEm	6	0	4	767052	39550	5
ghol	gQl	4	1	25	367604	12072	3
tweage	twi_	6	0	3	497950	15964	4
pheebb	fib	6	0	8	1940720	6025	3
gwilt	gwIlt	5	1	1	318046	42310	5
sckeib	sk1b	6	0	4	276978	7763	4
ghleel	glil	6	0	3	508127	13711	4
plersh	pl3S	6	0	1	629233	5875	4
sprur	spr3	5	0	3	155885	4424	4
chirc	J3k	5	1	24	675124	15709	3
zeult	zult	5	0	0	139232	1045	4
phlauc	fl9k	6	0	10	160572	3415	4
cawth	k9T	5	0	19	2006810	2097	3
kowdge	k6_	6	0	7	223415	6939	3
snoice	sn4s	6	0	0	393129	21754	4
kuique	kuk	6	0	18	50684	2461	3
bouth	b6T	5	8	13	2528987	69553	3
gwaipe	gw1p	6	0	1	421860	4323	4
ghoac	g5k	5	0	16	420107	1558	3
fleice	fl1s	6	1	9	380937	16030	4
pulmb	pVlm	5	0	2	142346	3109	4
greech	griJ	6	2	14	827049	53053	4
knante	n{nt	6	0	7	922525	18199	4
ghweam	gwim	6	0	1	555547	10897	4
lurmn	l3m	5	0	17	116928	648	3
yarmb	j#m	5	0	10	274718	11742	3
sckolm	skQlm	6	0	0	151709	0	5
knisk	nIsk	5	0	4	429523	3049	4
drurp	dr3p	5	0	4	132309	1945	4
yaint	j1nt	5	4	5	637777	31534	4
peame	pim	5	1	27	547693	49069	3
thilce	TIls	6	0	0	2455661	134429	4
spylp	spIlp	5	0	3	40931	141	5
mounn	m6n	5	3	20	576753	45241	3
yertch	j3J	6	0	6	543317	12494	3
phreme	frim	6	0	10	713621	23610	4
psenn	sEn	5	0	36	477796	9666	3
steke	stik	5	3	19	484736	10450	4
slirt	sl3t	5	4	13	258863	6482	4
roush	r6S	5	2	8	902475	67792	3
flisk	flIsk	5	3	2	488783	6052	5
sute	sjut	4	6	5	283227	1247	4
chuin	Jun	5	2	15	690247	3589	3
plurme	pl3m	6	0	3	373863	4685	4
golt	gQlt	4	10	3	139523	2409	4
dreelt	drilt	6	0	0	696842	54616	5
balmb	b{lm	5	0	0	188943	3890	4
scap	sk{p	4	8	10	127357	3884	4
twoach	tw5J	6	0	1	458508	41586	4
boarf	b9f	5	2	17	308189	6463	3
glauck	gl9k	6	0	0	230435	13417	4
struik	struk	6	1	8	397408	36723	5
huik	huk	4	3	15	70722	0	3
zaib	z1b	4	0	1	107554	0	3
gnaup	n9p	5	0	15	79019	127	3
sneemb	snim	6	0	4	419905	27338	4
sneece	snis	6	1	2	452861	16549	4
yirlte	j3lt	6	0	0	238215	7854	4
ghlyn	glIn	5	0	4	110282	34	4
theele	Til	6	0	18	4043416	1326963	3
spluy	spl2	5	1	2	80086	2749	4
frurb	fr3b	5	0	0	204045	1417	4
zog	zQg	3	10	9	3753	0	3
gruich	gruJ	6	0	4	373928	61850	4
swerth	sw3T	6	0	3	2357572	73735	4
heeph	hif	5	0	18	1960745	18549	3
streul	strul	6	0	5	819703	39699	5
dwed	dwEd	4	5	2	432224	4396	4
thwumf	TwVmf	6	0	0	1901228	49	5
sloarl	sl9l	6	0	2	393349	7963	4
bruch	brVJ	5	1	6	297622	40715	4
geunte	_unt	6	0	4	290742	3954	4
feeve	fiv	5	2	11	396184	13769	3
chinte	JInt	6	1	9	1175577	57155	4
niev	n2v	4	0	15	52213	291	3
smelse	smEls	6	0	3	596699	15146	5
fewnt	fjunt	5	1	0	232395	10099	5
peiche	p1S	6	0	12	2139416	74978	3
plelte	plElt	6	0	0	359304	11512	5
wholv	wQlv	5	1	1	506608	66206	4
dweafe	dwif	6	0	1	451275	6242	4
sckybe	sk2b	6	0	4	264876	1	4
jirthe	_3D	6	0	2	3798531	1324264	3
knugg	nVg	5	0	21	93962	811	3
foarb	f9b	5	0	17	443068	3151	3
glolmn	glQlm	6	0	0	168359	1246	5
snalv	sn{lv	5	0	0	152981	2089	5
cich	sIJ	4	1	20	280409	58189	3
val	v{l	3	6	13	140463	190	3
phounn	f6n	6	0	18	693993	89883	3
slyl	slIl	4	0	10	15092	101	4
threnk	TrENk	6	0	0	2564164	52410	5
flomb	flQm	5	0	7	264798	6868	4
curgue	k3g	6	0	12	124730	7498	3
thyll	TIl	5	0	19	2118090	242	3
smobb	smQb	5	0	5	116543	2567	4
twump	twVmp	5	2	1	43289	3593	5
tuic	tuk	4	0	18	117761	1548	3
driell	dr2l	6	0	7	426411	60928	4
smeegg	smig	6	0	2	434184	6013	4
ghraz	gr{z	5	0	8	211052	917	4
voltch	vQlJ	6	0	0	293447	12234	4
braim	br1m	5	2	15	291727	21798	4
zoatt	z5t	5	0	12	428886	4607	3
smarph	sm#f	6	0	3	367394	16559	4
zaill	z1l	5	0	25	435336	73462	3
brorce	br9s	6	0	6	675867	20221	4
thwaub	Tw9b	6	0	1	2167857	63	4
trurge	tr3_	6	1	1	245458	22466	4
lourte	l9t	6	0	32	738152	56726	3
drolc	drQlk	5	1	0	272689	8454	5
screwt	skrut	6	1	3	483565	11793	5
breene	brin	6	1	15	986210	97537	4
twowl	tw6l	5	0	2	300317	24029	4
geel	_il	4	5	22	329146	10117	3
ternte	t3nt	6	0	10	509478	5246	4
prok	prQk	4	6	8	254614	6624	4
momf	mQmf	4	1	1	232379	100	4
dylmb	dIlm	5	0	1	10308	0	4
griett	gr2t	6	0	11	223221	16927	4
jiete	_it	5	0	19	193229	23	3
fluin	flun	5	0	5	508603	1342	4
pseaf	sif	5	0	31	486169	8120	3
smeak	smik	5	4	7	502916	23623	4
blern	bl3n	5	0	4	415312	2278	4
faitch	f1J	6	1	14	725513	23146	3
weece	wis	5	0	17	450880	12906	3
teent	tint	5	1	5	553614	85102	4
skreph	skrEf	6	0	1	443370	342	5
koodge	ku_	6	0	12	258465	37489	3
stame	st1m	5	8	13	597302	68892	4
starlt	st#lt	6	0	2	600351	39769	5
skun	skVn	4	4	13	87954	385	4
psalf	s{lf	5	1	2	260791	7722	4
keabe	kib	5	0	12	523710	43	3
ghymn	gIm	5	0	17	121716	516	3
cighm	s2m	5	0	24	182872	62951	3
lenn	lEn	4	4	32	349317	2218	3
thaib	T1b	5	1	2	2554842	229687	3
sprolv	sprQlv	6	0	0	300771	13824	6
thoant	T5nt	6	0	1	2896096	47403	4
ghweec	gwik	6	0	2	474305	10589	4
thish	TIS	5	2	6	2761281	294007	3
bloov	bluv	5	2	3	280699	34108	4
plenk	plENk	5	3	3	413111	5544	5
sloitt	sl4t	6	0	6	500661	2518	4
stuiph	stuf	6	0	9	303742	2775	4
soark	s9k	5	4	35	403533	12522	3
glye	gl2	4	2	7	60591	17	3
smurr	sm3	5	0	4	134164	942	3
tourge	t9_	6	0	15	1556261	66098	3
quarb	kw#b	5	2	2	263840	5828	4
narth	n#T	5	2	5	2193580	34161	3
sckaph	sk{f	6	0	8	105738	96	4
thwas	Tw{s	5	0	1	2569710	188467	4
skrenc	skrENk	6	0	0	662524	10521	6
slirn	sl3n	5	0	6	234543	3337	4
vowse	v6s	5	0	8	415938	6244	3
usc	Vsk	3	2	1	153335	0	3
sckilf	skIlf	6	0	2	233834	4888	5
pasp	p{sp	4	6	0	496642	9916	4
fleam	flim	5	2	7	427022	43322	4
kulch	kVlJ	5	2	4	310624	667	4
zergn	z3n	5	0	9	257116	342	3
nourk	n9k	5	0	24	732377	50102	3
kirmn	k3m	5	0	20	153340	2452	3
bonn	bQn	4	4	34	299112	2475	3
nuithe	nuD	6	0	4	4034220	1442695	3
feen	fin	4	8	29	449750	69562	3
ghryth	grIT	6	0	7	2047310	498	4
rorf	r9f	4	1	12	547777	7	3
quorlt	kw9lt	6	0	1	415805	12969	5
pruke	pruk	5	2	6	179243	992	4
nike	n2k	4	9	18	180515	36684	3
gewlt	_ult	5	0	2	138228	0	4
swoark	sw9k	6	0	7	424227	12356	4
skreil	skr1l	6	0	3	591599	714	5
krez	krEz	4	0	7	392615	0	4
thoush	T6S	6	1	0	2806428	102261	3
dwike	dw2k	5	0	0	349343	36684	4
wilm	wIlm	4	5	4	302831	39729	4
psarsh	s#S	6	0	6	582265	24387	3
gnirge	n3_	6	0	9	201855	11261	3
chaugg	J9g	6	0	4	818604	25012	3
gewk	_uk	4	1	8	117737	0	3
shrype	Sr2p	6	0	4	252976	4778	4
filph	fIlf	5	2	5	186968	5771	4
blark	bl#k	5	3	7	393102	24190	4
grir	gr3	4	5	2	227395	2198	3
knirgn	n3n	6	0	16	172513	1108	3
lootch	luJ	6	0	17	585240	45566	3
bliec	bl2k	5	0	7	159572	6431	4
posk	pQsk	4	5	1	125255	1936	4
drynch	drInJ	6	1	1	264132	10007	5
sprerl	spr3l	6	0	1	698980	9311	5
gwoln	gwQln	5	0	0	182774	201	5
